id,text,group_label,department_label,created_at,text_clean
1084,Пользователь пытается обойти DLP через архив с паролем,Security,DLP,2026-04-20T20:50:48.084925,пользователь пытаться обойти dlp архив пароль
1085,Попытка несанкционированного копирования данных на USB,Security,DLP,2026-04-20T20:50:48.084946,попытка несанкционированный копирование данные usb
1086,Требуется проверить логи DLP на предмет утечки по ключу паспортные данные,Security,DLP,2026-04-20T20:50:48.085058,требоваться проверить лог dlp предмет утечка ключ паспортный дать
1087,Система DLP заблокировала отправку файла конфиденциально.pdf пожалуйста,Security,DLP,2026-04-20T20:50:48.085097,система dlp заблокировать отправка файл конфиденциальноpdf пожалуйста
1088,Токен для срочно двухфакторной аутентификации не принимается,Workplace,RemoteAccess,2026-04-20T20:50:48.085123,токен срочно двухфакторный аутентификация приниматься
1089,Не применяется политика блокировки экрана через 10 мин,Security,AccessControl,2026-04-20T20:50:48.085143,применяться политика блокировка экран мина
1090,"Синий экран при запуске, ошибка IRQL_NOT_LESS_OR_EQUAL",Workplace,OS,2026-04-20T20:50:48.085161,синий экран запуск ошибка irqlnotlessorequal
1091,"Клавиатура печатает не те символы, раскладка сбита",Workplace,Periphery,2026-04-20T20:50:48.085185,клавиатура печатать символ раскладка сбить
1092,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.085202,пропадать звук выход спать режим
1093,Обновление MATLAB сломало существующий функционал пакетная обработка,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.085223,обновление matlab сломать существующий функционал пакетный обработка
1094,Не работает сетевой принтер по адресу 10.0.215.148,Infrastructure,Network,2026-04-20T20:50:48.085243,работать сетевой принтер адрес
1095,Учётная запись пожалуйста заблокирована после 3 неудачных попыток,Security,AccessControl,2026-04-20T20:50:48.085265,учётный запись пожалуйста заблокировать неудачный попытка
1096,Ошибка в логах Event Log: Connection refused,Infrastructure,Servers,2026-04-20T20:50:48.085283,ошибка лог event log connection refused
1097,"Не обновляется опять система, ошибка кода 619",Workplace,OS,2026-04-20T20:50:48.085307,обновляться система ошибка код
1098,Конфликт срочно версий SolidWorks и системной библиотеки .NET Framework 4.8,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.085332,конфликт срочно версия solidworks системный библиотека net framework
1099,"Не уже работает интеграция CRM с телефонией, звонки не логируются",BusinessApps,CRM,2026-04-20T20:50:48.085353,работать интеграция crm телефония звонок логироваться
1100,Сервер srv-file-7 не отвечает на запросы,Infrastructure,Servers,2026-04-20T20:50:48.085374,сервер srvfile отвечать запрос
1101,"Монитор не включается, индикатор не горит",Workplace,Periphery,2026-04-20T20:50:48.085395,монитор включаться индикатор гореть
1102,Не работает экспорт данных из Photoshop в формат .xml,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.085423,работать экспорт данные photoshop формат xml
1103,"Антивирус грузит процессор на 100%, тормозит работу",Security,Antivirus,2026-04-20T20:50:48.085445,антивирус грузить процессор тормозить работа
1104,Не применяется политика блокировки экрана через 15 мин,Security,AccessControl,2026-04-20T20:50:48.085464,применяться политика блокировка экран мина
1105,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.085481,пропадать звук выход спать режим
1106,Не отображаются сетевые диски в Проводнике,Workplace,OS,2026-04-20T20:50:48.085497,отображаться сетевой диск проводник
1107,"Ошибка аутентификации в корпоративном портале, код помогите AUTH_001",Security,AccessControl,2026-04-20T20:50:48.085520,ошибка аутентификация корпоративный портал код помочь auth
1108,"Мышь не работает, пробовал перетыкать в разные опять USB",Workplace,Periphery,2026-04-20T20:50:48.085540,мышь работать пробовать перетыкать разный usb
1109,Не всё ещё применяется политика блокировки экрана через 15 мин,Security,AccessControl,2026-04-20T20:50:48.085561,всё ещё применяться политика блокировка экран мина
1110,"Не обновляется система, ошибка кода 691",Workplace,OS,2026-04-20T20:50:48.085579,обновляться система ошибка код
1111,Ложное срабатывание мониторинга на Memory,Infrastructure,Monitoring,2026-04-20T20:50:48.085597,ложный срабатывание мониторинг memory
1112,"Обрыв пожалуйста кабеля в серверной, нет связи с филиал Москва",Infrastructure,Network,2026-04-20T20:50:48.085619,обрыв пожалуйста кабель серверный связь филиал москва
1113,Не могу подключиться к корпоративному порталу из дома,Workplace,RemoteAccess,2026-04-20T20:50:48.085636,мочь подключиться корпоративный портал дом
1114,Требуется восстановить удалённый документ из архива СЭД,BusinessApps,DocumentFlow,2026-04-20T20:50:48.085653,требоваться восстановить удалённый документ архив сэд
1115,Ошибка подключения к базе 1С через COM-соединение,BusinessApps,1C,2026-04-20T20:50:48.085670,ошибка подключение база comсоединение
1116,"Антивирус блокирует программу {app}, хотя она безопасна",Security,Antivirus,2026-04-20T20:50:48.085688,антивирус блокировать программа app хотя безопасный
1117,"Бэкап не завершился, статус: Failed",Infrastructure,Backup,2026-04-20T20:50:48.085712,бэкап завершиться статус failed
1118,Полное сканирование зависло на файле конфиденциально.pdf,Security,Antivirus,2026-04-20T20:50:48.085731,полный сканирование зависнуть файл конфиденциальноpdf
1119,Отчёт в CRM формируется с неверными данными опять за последние 2 часа,BusinessApps,CRM,2026-04-20T20:50:48.085753,отчёт crm формироваться неверный данные последний час
1120,Не работает поиск по реквизитам в системе документооборота,BusinessApps,DocumentFlow,2026-04-20T20:50:48.085771,работать поиск реквизит система документооборот
1121,Требуется создать новую учётную запись для сотрудника Сидоров П.К.,Security,AccessControl,2026-04-20T20:50:48.085789,требоваться создать новый учётный запись сотрудник сидоров
1122,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.085806,пропадать звук выход спать режим
1123,Оповещения в Telegram уже не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.085826,оповещение telegram приходить бот мониторинг
1124,"Не могу зайти в уже CRM, пишет доступ запрещён",BusinessApps,CRM,2026-04-20T20:50:48.085846,мочь зайти crm писать доступ запретить
1125,"Не работает интеграция CRM с всё ещё телефонией, звонки не логируются",BusinessApps,CRM,2026-04-20T20:50:48.085877,работать интеграция crm всё ещё телефония звонок логироваться
1126,Не выгружается обмен данными с сайтом из всё ещё 1С,BusinessApps,1C,2026-04-20T20:50:48.085908,выгружаться обмен данные сайт всё ещё
1127,"Синий экран при запуске, ошибка PAGE_FAULT_IN_NONPAGED_AREA",Workplace,OS,2026-04-20T20:50:48.085935,синий экран запуск ошибка pagefaultinnonpagedarea
1128,"Клавиатура печатает не те символы, раскладка сбита",Workplace,Periphery,2026-04-20T20:50:48.085970,клавиатура печатать символ раскладка сбить
1129,Система мониторинга не присылает алерты,Infrastructure,Monitoring,2026-04-20T20:50:48.085988,система мониторинг присылать алерот
1130,Падение CorelDRAW при обработке файла большого размера,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.086007,падение coreldraw обработка файл большой размер
1131,Нужно уже добавить пользователя в локальную группу Remote Desktop Users,Workplace,PCAdmin,2026-04-20T20:50:48.086039,нужно добавить пользователь локальный группа remote desktop users
1132,Пользователь пытается обойти DLP через срочно архив с паролем,Security,DLP,2026-04-20T20:50:48.086059,пользователь пытаться обойти dlp срочно архив пароль
1133,Не работает автозапуск программ при старте системы,Workplace,OS,2026-04-20T20:50:48.086076,работать автозапуск программа старт система
1134,Ошибка сертификата при подключении к VPN-шлюзу,Workplace,RemoteAccess,2026-04-20T20:50:48.086093,ошибка сертификат подключение vpnшлюз
1135,Нужно добавить пользователя в локальную помогите группу Remote Desktop Users,Workplace,PCAdmin,2026-04-20T20:50:48.086115,нужно добавить пользователь локальный помочь группа remote desktop users
1136,Не работает резервное копирование баз данных уже третий день,Infrastructure,Backup,2026-04-20T20:50:48.086135,работать резервный копирование база данные третий день
1137,"Не работает вход по смарт-карте, ошибка считывания",Security,AccessControl,2026-04-20T20:50:48.086152,работать вход смарткарта ошибка считывание
1138,"Не обновляется система, ошибка кода ERR_CONNECTION_TIMED_OUT",Workplace,OS,2026-04-20T20:50:48.086171,обновляться система ошибка код errconnectiontimedout
1139,"Пришло письмо с подозрительной ссылкой, возможно фишинг",Security,DLP,2026-04-20T20:50:48.086189,прийти письмо подозрительный ссылка возможно фишинга
1140,Ошибка в задании бэкапа: Timeout expired,Infrastructure,Backup,2026-04-20T20:50:48.086207,ошибка задание бэкап timeout expired
1141,Не работает поиск по реквизитам в системе документооборота,BusinessApps,DocumentFlow,2026-04-20T20:50:48.086225,работать поиск реквизит система документооборот
1142,Медленная работа 1С при открытии справочника Контрагенты,BusinessApps,1C,2026-04-20T20:50:48.086243,медленный работа открытие справочник контрагент
1143,Требуется создать новую учётную запись для опять сотрудника Иванов И.И.,Security,AccessControl,2026-04-20T20:50:48.086268,требоваться создать новый учётный запись сотрудник иванов
1144,Требуется добавить исключение для папки D:\Backups в антивирусе,Security,Antivirus,2026-04-20T20:50:48.086288,требоваться добавить исключение папка dbackups антивирус
1145,Попытка несанкционированного опять копирования данных на USB,Security,DLP,2026-04-20T20:50:48.086310,попытка несанкционированный копирование данные usb
1146,"Недоступен шлюз по адресу 10.0.246.145, проверка связи не проходит",Infrastructure,Network,2026-04-20T20:50:48.086330,недоступный шлюз адрес проверка связь проходить
1147,Требуется уже добавить новый хост в систему мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.086351,требоваться добавить новый хост система мониторинг
1148,"VPN не подключается к офису, пишет ошибку 800",Infrastructure,Network,2026-04-20T20:50:48.086381,vpn подключаться офис писать ошибка
1149,Конфликт версий MATLAB и системной библиотеки MSVCR120.dll,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.086420,конфликт версия matlab системный библиотека msvcrdll
1150,"Ошибка аутентификации в корпоративном портале, код срочно LDAP_FAIL",Security,AccessControl,2026-04-20T20:50:48.086449,ошибка аутентификация корпоративный портал код срочно ldapfail
1151,"VPN не подключается к офису, пишет ошибку ERR_CONNECTION_TIMED_OUT",Infrastructure,Network,2026-04-20T20:50:48.086469,vpn подключаться офис писать ошибка errconnectiontimedout
1152,Требуется создать новую учётную запись для сотрудника Сидоров П.К.,Security,AccessControl,2026-04-20T20:50:48.086488,требоваться создать новый учётный запись сотрудник сидоров
1153,опять Превышен лимит дискового пространства на /var/log,Infrastructure,Servers,2026-04-20T20:50:48.086510,превысить лимит дисковый пространство varlog
1154,Windows не загружается после обновления,Workplace,OS,2026-04-20T20:50:48.086527,windows загружаться обновление
1155,Не монтируется диск на сервере баз данных,Infrastructure,Servers,2026-04-20T20:50:48.086548,монтироваться диск сервер база данные
1156,Падение CorelDRAW при обработке файла большого размера,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.086567,падение coreldraw обработка файл большой размер
1157,Требуется создать новую учётную запись для сотрудника Петрова А.С.,Security,AccessControl,2026-04-20T20:50:48.086586,требоваться создать новый учётный запись сотрудник петров
1158,"Антивирус грузит процессор на 90%, тормозит работу",Security,Antivirus,2026-04-20T20:50:48.086605,антивирус грузить процессор тормозить работа
1159,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.086622,пропадать звук выход спать режим
1160,Пользователь пытается опять обойти DLP через архив с паролем,Security,DLP,2026-04-20T20:50:48.086642,пользователь пытаться обойти dlp архив пароль
1161,"Антивирус грузит процессор на 80%, тормозит работу",Security,Antivirus,2026-04-20T20:50:48.086661,антивирус грузить процессор тормозить работа
1162,"Антивирус пожалуйста блокирует программу {app}, хотя она безопасна",Security,Antivirus,2026-04-20T20:50:48.086680,антивирус пожалуйста блокировать программа app хотя безопасный
1163,Попытка несанкционированного копирования данных на USB,Security,DLP,2026-04-20T20:50:48.086698,попытка несанкционированный копирование данные usb
1164,Не работает автозапуск программ пожалуйста при старте системы,Workplace,OS,2026-04-20T20:50:48.086717,работать автозапуск программа пожалуйста старт система
1165,Токен для двухфакторной аутентификации не принимается,Workplace,RemoteAccess,2026-04-20T20:50:48.086735,токен двухфакторный аутентификация приниматься
1166,Не хватает места в срочно хранилище резервных копий,Infrastructure,Backup,2026-04-20T20:50:48.086754,хватать место срочно хранилище резервный копия
1167,Требуется добавить исключение для папки /home/user/dev в антивирусе,Security,Antivirus,2026-04-20T20:50:48.086773,требоваться добавить исключение папка homeuserdev антивирус
1168,Конфликт лицензий при запуске уже 7-Zip,Workplace,PCAdmin,2026-04-20T20:50:48.086795,конфликт лицензия запуск zip
1169,Расписание бэкапов сбилось после обновления,Infrastructure,Backup,2026-04-20T20:50:48.086812,расписание бэкап сбиться обновление
1170,Не применяется политика блокировки экрана через 15 мин,Security,AccessControl,2026-04-20T20:50:48.086830,применяться политика блокировка экран мина
1171,Требуется настроить плагин для CorelDRAW под задачу расчёт нагрузок,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.086851,требоваться настроить плагин coreldraw задача расчёт нагрузка
1172,Пропущены метрики с хоста host-40 за всё ещё период ночной интервал,Infrastructure,Monitoring,2026-04-20T20:50:48.086873,пропустить метрика хост host всё ещё период ночной интервал
1173,Сессия в Terminal Server обрывается через 15 минут,Workplace,RemoteAccess,2026-04-20T20:50:48.086902,сессия terminal server обрываться минута
1174,Некорректно сработало правило: легитимная операция заблокирована,Security,DLP,2026-04-20T20:50:48.086964,некорректно сработать правило легитимный операция заблокировать
1175,1С зависает при формировании отчёта по обороту,BusinessApps,1C,2026-04-20T20:50:48.086994,зависать формирование отчёт оборот
1176,Отчёт в CRM формируется пожалуйста с неверными данными за последние 2 часа,BusinessApps,CRM,2026-04-20T20:50:48.087020,отчёт crm формироваться пожалуйста неверный данные последний час
1177,Не отображается история версий документа Договор_71,BusinessApps,DocumentFlow,2026-04-20T20:50:48.087040,отображаться история версия документ договор
1178,Проверка целостности бэкапа завершилась с ошибкой,Infrastructure,Backup,2026-04-20T20:50:48.087058,проверка целостность бэкап завершиться ошибка
1179,Не обновляются базы антивируса уже второй дней,Security,Antivirus,2026-04-20T20:50:48.087076,обновляться база антивирус второй день
1180,Полное сканирование зависло на файле отчёт_финансы.xlsx,Security,Antivirus,2026-04-20T20:50:48.087103,полный сканирование зависнуть файл отчётфинансыxlsx
1181,Не приходят уведомления о новых лидах из формы на сайте,BusinessApps,CRM,2026-04-20T20:50:48.087121,приходить уведомление новый лида форма сайт
1182,"Пришло письмо с подозрительной ссылкой, возможно фишинг",Security,DLP,2026-04-20T20:50:48.087138,прийти письмо подозрительный ссылка возможно фишинга
1183,Обновление SolidWorks сломало существующий функционал интеграция с 1С,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.087164,обновление solidworks сломать существующий функционал интеграция
1184,Требуется удалить старое ПО перед уже установкой нового,Workplace,PCAdmin,2026-04-20T20:50:48.087184,требоваться удалить старое установка новый
1185,Требуется выдать доступ к ресурсу GitLab для роли Разработчик,Security,AccessControl,2026-04-20T20:50:48.087206,требоваться выдать доступ ресурс gitlab роль разработчик
1186,Высокая загрузка CPU на сервере srv-file-7: 95% ,Infrastructure,Servers,2026-04-20T20:50:48.087230,высокий загрузка cpu сервер srvfile
1187,Не монтируется диск на сервере баз данных,Infrastructure,Servers,2026-04-20T20:50:48.087247,монтироваться диск сервер база данные
1188,Оповещения в Telegram не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.087264,оповещение telegram приходить бот мониторинг
1189,"Ошибка аутентификации в корпоративном портале, код LDAP_FAIL",Security,AccessControl,2026-04-20T20:50:48.087283,ошибка аутентификация корпоративный портал код ldapfail
1190,"Ошибка аутентификации в корпоративном портале, код LDAP_FAIL",Security,AccessControl,2026-04-20T20:50:48.087300,ошибка аутентификация корпоративный портал код ldapfail
1191,Требуется проверить логи DLP на предмет утечки по ключу паспортные данные,Security,DLP,2026-04-20T20:50:48.087319,требоваться проверить лог dlp предмет утечка ключ паспортный дать
1192,1С зависает при формировании отчёта по обороту,BusinessApps,1C,2026-04-20T20:50:48.087339,зависать формирование отчёт оборот
1193,Не приходят уведомления о новых лидах из формы на сайте,BusinessApps,CRM,2026-04-20T20:50:48.087356,приходить уведомление новый лида форма сайт
1194,"Пришло письмо с подозрительной ссылкой, опять возможно фишинг",Security,DLP,2026-04-20T20:50:48.087387,прийти письмо подозрительный ссылка возможно фишинга
1195,Не отображается статус сервиса Elasticsearch уже в дашборде,Infrastructure,Monitoring,2026-04-20T20:50:48.087428,отображаться статус сервис elasticsearch дашборд
1196,Пропущены метрики с хоста host-32 за период последние 2 часа,Infrastructure,Monitoring,2026-04-20T20:50:48.087453,пропустить метрика хост host период последний час
1197,"Не печатается печатная форма в 1С, пустой документ",BusinessApps,1C,2026-04-20T20:50:48.087470,печататься печатный форма пустой документ
1198,Ошибка при экспорте данных из CRM в Excel,BusinessApps,CRM,2026-04-20T20:50:48.087488,ошибка экспорт данные crm excel
1199,Не работает резервное копирование баз данных уже второй день,Infrastructure,Backup,2026-04-20T20:50:48.087507,работать резервный копирование база данные второй день
1200,Ошибка при экспорте данных из CRM в Excel,BusinessApps,CRM,2026-04-20T20:50:48.087523,ошибка экспорт данные crm excel
1201,"Не работает интеграция CRM с телефонией, звонки не логируются",BusinessApps,CRM,2026-04-20T20:50:48.087541,работать интеграция crm телефония звонок логироваться
1202,"Забыл пароль от VPN, нужен сброс доступа",Workplace,RemoteAccess,2026-04-20T20:50:48.087564,забыть пароль vpn нужный сброс доступ
1203,"Забыл пароль от VPN, срочно нужен сброс доступа",Workplace,RemoteAccess,2026-04-20T20:50:48.087588,забыть пароль vpn срочно нужный сброс доступ
1204,Дублируются записи в воронке продаж после импорта,BusinessApps,CRM,2026-04-20T20:50:48.087606,дублироваться запись воронка продажа импорт
1205,Ошибка проведения документа в 1С: Disk full,BusinessApps,1C,2026-04-20T20:50:48.087625,ошибка проведение документ disk full
1206,Расписание бэкапов сбилось после обновления,Infrastructure,Backup,2026-04-20T20:50:48.087641,расписание бэкап сбиться обновление
1207,"Не удаётся удалить срочно карантинный файл, доступ запрещён",Security,Antivirus,2026-04-20T20:50:48.087661,удаваться удалить срочно карантинный файл доступ запретить
1208,Попытка несанкционированного копирования данных на USB,Security,DLP,2026-04-20T20:50:48.087679,попытка несанкционированный копирование данные usb
1209,"Тормозит система, процесс explorer.exe грузит процессор",Workplace,OS,2026-04-20T20:50:48.087698,тормозить система процесс explorerexe грузить процессор
1210,Ошибка в задании бэкапа: пожалуйста Disk full,Infrastructure,Backup,2026-04-20T20:50:48.087718,ошибка задание бэкап пожалуйста disk full
1211,"Мышь не работает, пробовал перетыкать в разные USB",Workplace,Periphery,2026-04-20T20:50:48.087735,мышь работать пробовать перетыкать разный usb
1212,Не работает резервное копирование баз данных срочно уже второй день,Infrastructure,Backup,2026-04-20T20:50:48.087759,работать резервный копирование база данные срочно второй день
1213,Зависает проводник при открытии папки Загрузки,Workplace,OS,2026-04-20T20:50:48.087778,зависать проводник открытие папка загрузка
1214,"Забыл пароль срочно от AD, нужно сбросить срочно",Security,AccessControl,2026-04-20T20:50:48.087797,забыть пароль срочно нужно сбросить срочно
1215,"Недоступен шлюз по адресу 10.0.248.234, проверка связи не проходит",Infrastructure,Network,2026-04-20T20:50:48.087824,недоступный шлюз адрес проверка связь проходить
1216,"Монитор не срочно включается, индикатор не горит",Workplace,Periphery,2026-04-20T20:50:48.087857,монитор срочно включаться индикатор гореть
1217,Ошибка сертификата при подключении к VPN-шлюзу,Workplace,RemoteAccess,2026-04-20T20:50:48.087877,ошибка сертификат подключение vpnшлюз
1218,"Наушники не определяются, звук идёт через динамики",Workplace,Periphery,2026-04-20T20:50:48.087894,наушник определяться звук идти динамика
1219,Требуется выдать доступ к ресурсу 1C:Enterprise для помогите роли Аналитик,Security,AccessControl,2026-04-20T20:50:48.087927,требоваться выдать доступ ресурс centerprise помочь роль аналитик
1220,Ошибка проведения документа в 1С: Connection срочно refused,BusinessApps,1C,2026-04-20T20:50:48.087960,ошибка проведение документ connection срочно refused
1221,Попытка несанкционированного копирования данных на USB,Security,DLP,2026-04-20T20:50:48.087981,попытка несанкционированный копирование данные usb
1222,Превышен лимит дискового пространства на /backup,Infrastructure,Servers,2026-04-20T20:50:48.088001,превысить лимит дисковый пространство backup
1223,1С пожалуйста зависает при формировании отчёта по остаткам,BusinessApps,1C,2026-04-20T20:50:48.088022,пожалуйста зависать формирование отчёт остаток
1224,Поле Ответственный не отображается опять в форме создания сделки,BusinessApps,CRM,2026-04-20T20:50:48.088044,поле ответственный отображаться форма создание сделка
1225,Требуется установить ПО 7-Zip на рабочую станцию,Workplace,PCAdmin,2026-04-20T20:50:48.088063,требоваться установить zip рабочий станция
1226,"Забыл пароль от AD, нужно сбросить срочно",Security,AccessControl,2026-04-20T20:50:48.088080,забыть пароль нужно сбросить срочно
1227,Полное сканирование зависло на файле отчёт_финансы.xlsx,Security,Antivirus,2026-04-20T20:50:48.088099,полный сканирование зависнуть файл отчётфинансыxlsx
1228,Поле Ответственный не отображается в форме создания сделки,BusinessApps,CRM,2026-04-20T20:50:48.088117,поле ответственный отображаться форма создание сделка
1229,уже Не отображается история версий документа Приказ_47,BusinessApps,DocumentFlow,2026-04-20T20:50:48.088138,отображаться история версия документ приказ
1230,Срабатывание правила DLP при отправке отчёта контрагенту,Security,DLP,2026-04-20T20:50:48.088155,срабатывание правило dlp отправка отчёт контрагент
1231,Не монтируется диск на сервере баз данных,Infrastructure,Servers,2026-04-20T20:50:48.088172,монтироваться диск сервер база данные
1232,Не работает резервное копирование баз пожалуйста данных уже пятый день,Infrastructure,Backup,2026-04-20T20:50:48.088194,работать резервный копирование база пожалуйста данные пятый день
1233,Оповещения в Telegram не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.088211,оповещение telegram приходить бот мониторинг
1234,Ошибка уже в логах Event Log: Disk full,Infrastructure,Servers,2026-04-20T20:50:48.088231,ошибка лог event log disk full
1235,"Пришло письмо с подозрительной ссылкой, возможно фишинг",Security,DLP,2026-04-20T20:50:48.088248,прийти письмо подозрительный ссылка возможно фишинга
1236,"Обрыв кабеля в серверной, нет связи с ЦОД-1",Infrastructure,Network,2026-04-20T20:50:48.088266,обрыв кабель серверный связь цод
1237,"Не пингуется сервер 10.0.248.234, вся сеть легла уже",Infrastructure,Network,2026-04-20T20:50:48.088288,пинговаться сервер весь сеть лечь
1238,Не применяется политика блокировки экрана через 5 мин,Security,AccessControl,2026-04-20T20:50:48.088306,применяться политика блокировка экран мина
1239,"Обрыв кабеля в всё ещё серверной, нет связи с ЦОД-1",Infrastructure,Network,2026-04-20T20:50:48.088326,обрыв кабель всё ещё серверный связь цод
1240,"Мышь не работает, пробовал перетыкать в разные USB",Workplace,Periphery,2026-04-20T20:50:48.088343,мышь работать пробовать перетыкать разный usb
1241,"Антивирус блокирует программу {app}, хотя она безопасна",Security,Antivirus,2026-04-20T20:50:48.088368,антивирус блокировать программа app хотя безопасный
1242,Не работает поиск по реквизитам в системе документооборота,BusinessApps,DocumentFlow,2026-04-20T20:50:48.088395,работать поиск реквизит система документооборот
1243,Требуется добавить исключение для папки /opt/custom в антивирусе,Security,Antivirus,2026-04-20T20:50:48.088420,требоваться добавить исключение папка optcustom антивирус
1244,Не подключается RDP к рабочему компьютеру,Workplace,RemoteAccess,2026-04-20T20:50:48.088442,подключаться rdp рабочий компьютер
1245,Оповещения в Telegram не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.088460,оповещение telegram приходить бот мониторинг
1246,Не хватает места в хранилище резервных копий,Infrastructure,Backup,2026-04-20T20:50:48.088478,хватать место хранилище резервный копия
1247,"Не открывается документ в СЭД, ошибка формата .odt",BusinessApps,DocumentFlow,2026-04-20T20:50:48.088496,открываться документ сэд ошибка формат odt
1248,Система мониторинга опять не присылает алерты,Infrastructure,Monitoring,2026-04-20T20:50:48.088517,система мониторинг присылать алерот
1249,Ошибка сертификата при подключении к VPN-шлюзу,Workplace,RemoteAccess,2026-04-20T20:50:48.088535,ошибка сертификат подключение vpnшлюз
1250,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.088552,пропадать звук выход спать режим
1251,Требуется проверить логи DLP на предмет утечки по ключу паспортные данные,Security,DLP,2026-04-20T20:50:48.088570,требоваться проверить лог dlp предмет утечка ключ паспортный дать
1252,"Клавиатура печатает не те символы, раскладка сбита",Workplace,Periphery,2026-04-20T20:50:48.088587,клавиатура печатать символ раскладка сбить
1253,Ошибка в логах Event Log: Timeout expired всё ещё,Infrastructure,Servers,2026-04-20T20:50:48.088612,ошибка лог event log timeout expired всё ещё
1254,Маршрутизатор не раздаёт помогите IP-адреса по DHCP,Infrastructure,Network,2026-04-20T20:50:48.088633,маршрутизатор раздавать помочь ipадрес dhcp
1255,"Пришло письмо с подозрительной ссылкой, возможно фишинг",Security,DLP,2026-04-20T20:50:48.088650,прийти письмо подозрительный ссылка возможно фишинга
1256,Проблемы с подключением к уже сети в кабинете А-301,Infrastructure,Network,2026-04-20T20:50:48.088681,проблема подключение сеть кабинет
1257,Пользователь пытается обойти DLP через архив с паролем,Security,DLP,2026-04-20T20:50:48.088709,пользователь пытаться обойти dlp архив пароль
1258,"Пришло письмо с подозрительной ссылкой, возможно фишинг уже",Security,DLP,2026-04-20T20:50:48.088730,прийти письмо подозрительный ссылка возможно фишинга
1259,"Не удаётся удалить карантинный файл, доступ запрещён",Security,Antivirus,2026-04-20T20:50:48.088748,удаваться удалить карантинный файл доступ запретить
1260,Пользователь пытается обойти DLP помогите через архив с паролем,Security,DLP,2026-04-20T20:50:48.088767,пользователь пытаться обойти dlp помочь архив пароль
1261,Ложное срабатывание на внутренний разработанный модуль,Security,Antivirus,2026-04-20T20:50:48.088784,ложный срабатывание внутренний разработать модуль
1262,Ложное срабатывание мониторинга на уже CPU,Infrastructure,Monitoring,2026-04-20T20:50:48.088805,ложный срабатывание мониторинг cpu
1263,Ошибка в логах Event Log: NullReferenceException,Infrastructure,Servers,2026-04-20T20:50:48.088823,ошибка лог event log nullreferenceexception
1264,Требуется выдать доступ к ресурсу 1C:Enterprise для роли Менеджер,Security,AccessControl,2026-04-20T20:50:48.088844,требоваться выдать доступ ресурс centerprise роль менеджер
1265,Требуется настроить групповую политику для отдела Разработка,Workplace,PCAdmin,2026-04-20T20:50:48.088862,требоваться настроить групповой политика отдел разработка
1266,"Недоступен шлюз по адресу 10.0.181.244, проверка связи не проходит",Infrastructure,Network,2026-04-20T20:50:48.088881,недоступный шлюз адрес проверка связь проходить
1267,Требуется пожалуйста выдать доступ к ресурсу \\fileserver\docs для роли Аналитик,Security,AccessControl,2026-04-20T20:50:48.088904,требоваться пожалуйста выдать доступ ресурс fileserverdocs роль аналитик
1268,"Компьютер не входит в домен, ошибка {err_msg}",Workplace,PCAdmin,2026-04-20T20:50:48.088922,компьютер входить домен ошибка errmsg
1269,"Пришло письмо с подозрительной ссылкой, возможно фишинг",Security,DLP,2026-04-20T20:50:48.088939,прийти письмо подозрительный ссылка возможно фишинга
1270,Ложное срабатывание на внутренний разработанный модуль,Security,Antivirus,2026-04-20T20:50:48.088968,ложный срабатывание внутренний разработать модуль
1271,Дублируются записи в воронке срочно продаж после импорта,BusinessApps,CRM,2026-04-20T20:50:48.088989,дублироваться запись воронка срочно продажа импорт
1272,Не монтируется диск на сервере баз данных,Infrastructure,Servers,2026-04-20T20:50:48.089006,монтироваться диск сервер база данные
1273,уже Конфликт версий SolidWorks и системной библиотеки MSVCR120.dll,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.089029,конфликт версия solidworks системный библиотека msvcrdll
1274,Windows не помогите загружается после обновления,Workplace,OS,2026-04-20T20:50:48.089048,windows помочь загружаться обновление
1275,"Сервер завис при обновлении, требуется перезагрузка",Infrastructure,Servers,2026-04-20T20:50:48.089071,сервер зависнуть обновление требоваться перезагрузка
